Type,Rate,F1 Score
capitalization_swap,0.1,0.8336152408083326
capitalization_swap,0.15,0.7959675260951021
capitalization_swap,0.2,0.7648343647615581
capitalization_swap,0.25,0.7348616311991962
capitalization_swap,0.3,0.7127827948980542
character_swap,0.1,0.8964728648078107
character_swap,0.15,0.7848034934497816
character_swap,0.2,0.6396818382677861
character_swap,0.25,0.5823195458231953
character_swap,0.3,0.5517493377180963
character_removal,0.1,0.9006002824858758
character_removal,0.15,0.7870638896212321
character_removal,0.2,0.6225959388138474
character_removal,0.25,0.5539455468389479
character_removal,0.3,0.5242901613055372
character_replacement,0.1,0.9017880736369241
character_replacement,0.15,0.7905650596163816
character_replacement,0.2,0.6395160603220585
character_replacement,0.25,0.5760138050043141
character_replacement,0.3,0.5742318616059902
