Type,Rate,F1 Score
capitalization_swap,0.1,0.8361953910490257
capitalization_swap,0.15,0.8028067650233897
capitalization_swap,0.2,0.7735576053535902
capitalization_swap,0.25,0.7335102003476351
capitalization_swap,0.3,0.7062441752096925
character_swap,0.1,0.9003612016562418
character_swap,0.15,0.7889249101901341
character_swap,0.2,0.6387369906509085
character_swap,0.25,0.569830386142187
character_swap,0.3,0.54682944606414
character_removal,0.1,0.9010504016241503
character_removal,0.15,0.781414994720169
character_removal,0.2,0.6229508196721311
character_removal,0.25,0.5496480177843646
character_removal,0.3,0.5159594442358242
character_replacement,0.1,0.9013737231419514
character_replacement,0.15,0.7923421869610211
character_replacement,0.2,0.6351535836177474
character_replacement,0.25,0.5796475466482378
character_replacement,0.3,0.5581114844490394
