Type,Rate,F1 Score
capitalization_swap,0.1,0.5743275581506653
capitalization_swap,0.15,0.5455766647476492
capitalization_swap,0.2,0.5157075607647229
capitalization_swap,0.25,0.4943668753009148
capitalization_swap,0.3,0.4786026200873363
character_swap,0.1,0.5921348314606741
character_swap,0.15,0.4738333648214623
character_swap,0.2,0.3464724624487938
character_swap,0.25,0.28372930783086026
character_swap,0.3,0.2754787961696306
character_removal,0.1,0.5879495562821112
character_removal,0.15,0.452304797742239
character_removal,0.2,0.3062694530902623
character_removal,0.25,0.24991590985536496
character_removal,0.3,0.2527196652719665
character_replacement,0.1,0.5901670106961908
character_replacement,0.15,0.4506644048628782
character_replacement,0.2,0.3012218877279972
character_replacement,0.25,0.243934752007949
character_replacement,0.3,0.24259473771305642
